name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;290;0;253;3217;1104;3217;1104;0
header;277;177;277;208;1891;208;1891;177
D;1021;343;1021;369;1055;369;1055;343
A;1072;344;1072;371;1092;371;1092;344
A;800;432;800;432;800;432;800;432
A;733;706;733;706;733;706;733;706
B;1070;1011;1070;1037;1091;1037;1091;1011
A;1069;1153;1069;1155;1071;1155;1071;1153
C;1067;1680;1067;1707;1087;1707;1087;1680
D;928;1990;928;2017;963;2017;963;1990
D;1066;2352;1066;2378;1087;2378;1087;2352
A;265;2616;265;2617;265;2617;265;2616
A;728;2682;728;2687;734;2687;734;2682
