name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;143;0;143;3221;1647;3221;1357;0
header;154;178;154;224;1760;224;1760;178
A;276;61;276;62;276;62;276;61
A;710;104;710;107;714;107;714;104
A;945;257;945;283;967;283;967;257
A;924;305;924;311;929;311;929;305
A;674;350;674;356;681;356;681;350
D;1288;385;1288;412;1321;412;1321;385
B;946;923;946;949;965;949;965;923
B;1131;1032;1131;1050;1146;1050;1146;1032
A;1328;1045;1328;1056;1335;1056;1335;1045
C;941;1591;941;1621;962;1621;962;1591
A;1245;1608;1245;1609;1245;1609;1245;1608
A;846;1969;846;1971;846;1971;846;1969
D;938;2264;938;2291;960;2291;960;2264
A;1123;2297;1123;2298;1124;2298;1124;2297
A;785;2556;785;2566;793;2566;793;2556
A;1288;2562;1288;2564;1292;2564;1292;2562
B;271;2639;271;2666;311;2666;311;2639
A;263;2705;263;2717;271;2717;271;2705
A;282;2731;282;2756;297;2756;297;2731
B;178;2900;178;2916;198;2916;198;2900
